City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Clyde River,CA,2021-01-29 20:53:04,70.4692,-68.5914,-9.4,84,1,9.22
1,Morgan City,US,2021-01-29 20:53:04,29.6994,-91.2068,64.0,55,1,5.75
2,Mar Del Plata,AR,2021-01-29 20:53:05,-38.0023,-57.5575,80.6,39,75,12.66
3,Totness,SR,2021-01-29 20:53:05,5.8833,-56.3167,78.84,80,52,10.65
4,Dikson,RU,2021-01-29 20:53:05,73.5069,80.5464,-31.13,85,100,6.04
5,Tete,MZ,2021-01-29 20:53:05,-16.1564,33.5867,77.0,88,40,5.75
6,Batagay-Alyta,RU,2021-01-29 20:53:05,67.8006,130.4114,-28.88,81,100,1.57
7,Atuona,PF,2021-01-29 20:53:06,-9.8,-139.0333,78.67,77,3,19.15
8,Torbay,CA,2021-01-29 20:53:06,47.6666,-52.7314,28.0,93,90,20.71
9,Rikitea,PF,2021-01-29 20:53:06,-23.1203,-134.9692,79.88,67,97,6.49
10,Busselton,AU,2021-01-29 20:53:06,-33.65,115.3333,61.0,85,0,4.0
11,Pochutla,MX,2021-01-29 20:48:17,15.7432,-96.4661,91.99,43,40,9.22
12,Barrow,US,2021-01-29 20:52:47,71.2906,-156.7887,-11.2,70,90,10.36
13,Chalmette,US,2021-01-29 20:53:07,29.9427,-89.9634,59.0,51,1,4.61
14,Carnarvon,AU,2021-01-29 20:53:07,-24.8667,113.6333,78.8,89,2,6.91
15,Lufilufi,WS,2021-01-29 20:53:07,-13.8745,-171.5986,77.0,94,90,19.57
16,Rio Grande,BR,2021-01-29 20:51:31,-32.035,-52.0986,82.99,83,75,3.44
17,Veraval,IN,2021-01-29 20:53:08,20.9,70.3667,65.07,29,64,13.29
18,Iqaluit,CA,2021-01-29 20:53:08,63.7506,-68.5145,-13.0,70,1,18.41
19,Karasuk,RU,2021-01-29 20:53:08,53.7377,78.0403,12.81,97,91,8.03
20,Leningradskiy,RU,2021-01-29 20:53:08,69.3833,178.4167,-23.85,84,97,8.97
21,Tasiilaq,GL,2021-01-29 20:53:08,65.6145,-37.6368,17.6,86,75,21.85
22,Albany,US,2021-01-29 20:53:09,42.6001,-73.9662,17.01,43,64,5.99
23,Avarua,CK,2021-01-29 20:53:09,-21.2078,-159.775,84.2,79,20,8.05
24,Lata,PT,2021-01-29 20:53:09,40.1629,-8.3327,57.0,93,100,1.99
25,Punta Arenas,CL,2021-01-29 20:49:27,-53.15,-70.9167,50.0,62,75,23.02
26,Mataura,NZ,2021-01-29 20:53:10,-46.1927,168.8643,48.0,80,29,8.01
27,Hermanus,ZA,2021-01-29 20:53:10,-34.4187,19.2345,66.99,78,87,4.0
28,Yar-Sale,RU,2021-01-29 20:53:10,66.8333,70.8333,-41.37,80,16,4.56
29,Jamestown,US,2021-01-29 20:53:10,42.097,-79.2353,21.0,73,90,16.11
30,Sorland,NO,2021-01-29 20:53:10,67.667,12.6934,29.66,89,0,10.89
31,Hobart,AU,2021-01-29 20:51:52,-42.8794,147.3294,62.01,94,40,5.75
32,Bluff,NZ,2021-01-29 20:53:11,-46.6,168.3333,48.0,80,87,8.01
33,Hilo,US,2021-01-29 20:50:24,19.7297,-155.09,71.6,83,90,4.74
34,Ushuaia,AR,2021-01-29 20:51:19,-54.8,-68.3,41.0,75,75,25.32
35,Protivin,CZ,2021-01-29 20:53:11,49.1995,14.2172,43.0,93,100,15.99
36,Joao Pinheiro,BR,2021-01-29 20:53:12,-17.7425,-46.1725,78.51,60,94,2.57
37,Dingle,PH,2021-01-29 20:53:12,10.9995,122.6711,73.62,90,100,11.99
38,Goma,CD,2021-01-29 20:53:12,-1.6792,29.2228,63.19,76,52,2.73
39,Vaini,TO,2021-01-29 20:53:12,-21.2,-175.2,77.0,94,75,13.8
40,Hearst,CA,2021-01-29 20:53:13,49.6835,-83.6665,3.2,78,100,4.61
41,Klaksvik,FO,2021-01-29 20:53:13,62.2266,-6.589,33.8,64,75,9.22
42,Irbeyskoye,RU,2021-01-29 20:53:13,55.6428,95.4522,5.58,94,100,3.58
43,Richards Bay,ZA,2021-01-29 20:53:13,-28.783,32.0377,72.55,87,93,2.1
44,Arraial Do Cabo,BR,2021-01-29 20:53:14,-22.9661,-42.0278,82.4,65,0,19.57
45,Luganville,VU,2021-01-29 20:50:04,-15.5333,167.1667,81.81,78,97,2.57
46,Imbituba,BR,2021-01-29 20:53:14,-28.24,-48.6703,73.4,94,75,18.41
47,Naze,JP,2021-01-29 20:53:14,28.3667,129.4833,49.24,74,53,13.87
48,Namibe,AO,2021-01-29 20:53:14,-15.1961,12.1522,74.19,75,25,11.7
49,Christchurch,NZ,2021-01-29 20:53:14,-43.5333,172.6333,59.0,71,90,8.05
50,Port Hardy,CA,2021-01-29 20:50:00,50.6996,-127.4199,42.8,81,90,12.66
51,Perelyub,RU,2021-01-29 20:53:15,51.8667,50.3667,25.3,98,95,4.88
52,Komsomolskiy,UZ,2021-01-29 20:53:15,40.4272,71.7189,30.2,51,57,4.61
53,Slave Lake,CA,2021-01-29 20:53:15,55.2834,-114.769,1.4,78,1,11.5
54,Mahebourg,MU,2021-01-29 20:53:16,-20.4081,57.7,80.6,78,75,11.5
55,Kalmunai,LK,2021-01-29 20:53:16,7.4167,81.8167,75.47,90,99,8.59
56,Airai,TL,2021-01-29 20:49:26,-8.9266,125.4092,61.65,100,100,4.38
57,Ribeira Grande,PT,2021-01-29 20:53:16,38.5167,-28.7,60.8,77,20,8.05
58,Coihaique,CL,2021-01-29 20:49:24,-45.5752,-72.0662,62.6,39,20,11.5
59,Dukat,RU,2021-01-29 20:53:16,62.55,155.55,-31.45,82,100,3.58
60,Davidson,US,2021-01-29 20:49:36,36.1501,-86.7833,46.0,36,1,4.61
61,Broken Hill,AU,2021-01-29 20:53:17,-31.95,141.4333,66.2,68,0,16.11
62,Saint-Pierre,RE,2021-01-29 20:53:17,-21.3393,55.4781,78.8,65,0,4.61
63,Jiaojiang,CN,2021-01-29 20:53:17,28.6803,121.4428,37.0,65,0,2.82
64,Sulangan,PH,2021-01-29 20:53:17,11.1373,123.7228,79.32,81,100,28.25
65,Palu,ID,2021-01-29 20:53:18,-0.8917,119.8707,72.81,81,97,2.35
66,Cape Town,ZA,2021-01-29 20:51:22,-33.9258,18.4232,69.01,82,20,11.5
67,Krasnoselkup,RU,2021-01-29 20:53:18,65.7,82.4667,-30.23,81,46,6.35
68,Albanel,CA,2021-01-29 20:51:21,48.8832,-72.4487,6.8,72,100,12.66
69,Bethel,US,2021-01-29 20:53:18,41.3712,-73.414,19.4,45,1,16.11
70,Adrar,MR,2021-01-29 20:53:19,20.5022,-10.0711,69.94,21,0,9.22
71,Port Elizabeth,ZA,2021-01-29 20:53:19,-33.918,25.5701,62.6,88,40,6.91
72,Motygino,RU,2021-01-29 20:53:19,58.1831,94.7592,-23.33,85,100,7.36
73,Port Alfred,ZA,2021-01-29 20:53:19,-33.5906,26.891,64.99,87,1,1.99
74,Isangel,VU,2021-01-29 20:53:19,-19.55,169.2667,77.0,88,20,15.14
75,Sao Filipe,CV,2021-01-29 20:53:20,14.8961,-24.4956,75.61,56,77,10.83
76,Harindanga,IN,2021-01-29 20:49:24,22.0383,88.3214,62.6,82,20,4.61
77,Severo-Kurilsk,RU,2021-01-29 20:53:20,50.6789,156.125,20.82,91,98,14.16
78,Khatanga,RU,2021-01-29 20:53:20,71.9667,102.5,-44.73,73,0,2.06
79,Praya,CV,2021-01-29 20:53:20,14.9215,-23.5087,75.2,57,0,17.27
80,Vysha,RU,2021-01-29 20:53:20,53.8477,42.3777,26.92,97,98,11.43
81,San Andres,CO,2021-01-29 20:53:20,12.5847,-81.7006,86.0,62,20,11.5
82,Nanortalik,GL,2021-01-29 20:53:21,60.1432,-45.2371,32.79,90,100,8.86
83,Yellowknife,CA,2021-01-29 20:53:21,62.456,-114.3525,-15.0,76,20,8.05
84,Port Hedland,AU,2021-01-29 20:50:00,-20.3167,118.5667,82.4,83,16,3.44
85,Thompson,CA,2021-01-29 20:53:21,55.7435,-97.8558,6.8,78,90,5.75
86,Matamoros,MX,2021-01-29 20:53:21,25.5333,-103.25,77.0,31,20,1.81
87,Teluknaga,ID,2021-01-29 20:53:22,-6.0989,106.6381,75.2,94,75,10.36
88,Grindavik,IS,2021-01-29 20:53:22,63.8424,-22.4338,35.6,75,75,6.91
89,Sao Jose Da Coroa Grande,BR,2021-01-29 20:53:22,-8.8978,-35.1478,79.0,82,99,10.29
90,Obidos,BR,2021-01-29 20:50:35,-1.9175,-55.5181,83.82,74,61,2.93
91,Hithadhoo,MV,2021-01-29 20:53:22,-0.6,73.0833,81.37,76,56,9.64
92,Salcaja,GT,2021-01-29 20:53:22,14.8833,-91.45,72.0,28,0,34.52
93,Puerto Baquerizo Moreno,EC,2021-01-29 20:53:23,-0.9,-89.6,84.2,74,75,14.97
94,Orlik,RU,2021-01-29 20:53:23,52.5178,99.825,4.14,84,80,6.04
95,Ucluelet,CA,2021-01-29 20:53:23,48.9329,-125.5528,44.01,87,90,14.97
96,Birnin Kebbi,NG,2021-01-29 20:53:23,12.4539,4.1975,76.51,18,18,12.17
97,Point Fortin,TT,2021-01-29 20:53:24,10.1833,-61.6833,84.0,76,44,4.0
98,Butaritari,KI,2021-01-29 20:53:24,3.0707,172.7902,80.6,75,93,18.63
99,Codrington,AU,2021-01-29 20:53:24,-38.2667,141.9667,60.46,81,100,11.63
100,Ambon,ID,2021-01-29 20:53:24,-3.6954,128.1814,80.73,80,100,11.36
101,Antsohihy,MG,2021-01-29 20:53:24,-14.8796,47.9875,72.75,94,92,3.33
102,Brora,GB,2021-01-29 20:53:25,58.0099,-3.8518,39.2,87,40,3.44
103,Victoria Falls,ZW,2021-01-29 20:53:25,-17.9235,25.843,68.7,94,100,3.27
104,Kavieng,PG,2021-01-29 20:53:26,-2.5744,150.7967,82.81,82,94,14.72
105,Chuy,UY,2021-01-29 20:53:26,-33.6971,-53.4616,77.14,68,2,7.61
106,Waren,DE,2021-01-29 20:53:26,53.5167,12.6833,30.0,77,100,6.2
107,Tiksi,RU,2021-01-29 20:53:26,71.6872,128.8694,-32.19,84,100,4.27
108,Demba,CD,2021-01-29 20:53:27,-5.51,22.2667,71.69,87,93,2.48
109,Port Moresby,PG,2021-01-29 20:53:27,-9.4431,147.1797,75.2,94,90,9.22
110,Alice Town,BS,2021-01-29 20:53:27,25.7167,-79.3,67.73,66,93,15.55
111,Geraldton,AU,2021-01-29 20:53:27,-28.7667,114.6,82.4,21,0,23.02
112,Anadyr,RU,2021-01-29 20:53:27,64.75,177.4833,-20.0,76,0,8.95
113,Kapaa,US,2021-01-29 20:53:27,22.0752,-159.319,75.2,69,75,19.57
114,Bredasdorp,ZA,2021-01-29 20:48:39,-34.5322,20.0403,68.14,74,90,3.94
115,Ormara,PK,2021-01-29 20:53:28,25.2088,64.6357,66.65,45,0,5.46
116,Ajdabiya,LY,2021-01-29 20:53:28,30.7554,20.2263,59.05,69,0,9.4
117,Nortelandia,BR,2021-01-29 20:53:29,-14.4547,-56.8028,84.72,70,94,3.83
118,Kodiak,US,2021-01-29 20:53:29,57.79,-152.4072,33.8,69,75,16.11
119,Saskylakh,RU,2021-01-29 20:53:29,71.9167,114.0833,-38.79,79,59,1.48
120,Kanniyakumari,IN,2021-01-29 20:53:29,8.0833,77.5667,78.28,79,62,16.13
121,Mandalgovi,MN,2021-01-29 20:51:05,45.7625,106.2708,15.33,90,59,13.4
122,Praia Da Vitoria,PT,2021-01-29 20:53:29,38.7333,-27.0667,59.0,72,20,6.53
123,Cherskiy,RU,2021-01-29 20:53:30,68.75,161.3,-32.64,83,48,4.38
124,Mount Gambier,AU,2021-01-29 20:53:30,-37.8333,140.7667,57.2,100,90,9.22
125,Victoria,HK,2021-01-29 20:51:45,22.2855,114.1577,60.01,71,0,1.01
126,Xiaoweizhai,CN,2021-01-29 20:53:31,26.1903,107.5125,44.6,77,100,3.65
127,Vostochnyy,RU,2021-01-29 20:53:31,55.8167,37.8667,32.0,74,40,11.18
128,Biak,ID,2021-01-29 20:53:31,-0.9131,122.8766,75.85,71,100,4.0
129,Dale,US,2021-01-29 20:53:31,38.1689,-86.99,41.0,56,1,9.22
130,Qaanaaq,GL,2021-01-29 20:53:31,77.484,-69.3632,-14.84,60,0,4.59
131,Saldanha,ZA,2021-01-29 20:53:31,-33.0117,17.9442,65.03,89,0,12.68
132,Mehamn,NO,2021-01-29 20:53:32,71.0357,27.8492,19.4,73,0,4.61
133,Pulaski,US,2021-01-29 20:53:32,34.7668,-92.3001,53.01,46,40,9.22
134,Kumluca,TR,2021-01-29 20:53:32,36.3703,30.2869,47.48,50,0,3.85
135,Korfez,TR,2021-01-29 20:51:30,40.7767,29.7297,48.2,61,0,13.8
136,Bahia Blanca,AR,2021-01-29 20:52:54,-38.7196,-62.2724,76.37,39,89,16.55
137,Lakes Entrance,AU,2021-01-29 20:53:33,-37.8811,147.981,66.0,97,83,1.01
138,Chemal,RU,2021-01-29 20:53:33,51.4111,86.005,21.7,89,100,6.26
139,Charyshskoye,RU,2021-01-29 20:53:33,51.3978,83.5598,23.9,91,100,7.63
140,San Francisco,US,2021-01-29 20:52:31,37.7749,-122.4194,54.0,71,20,5.75
141,Valreas,FR,2021-01-29 20:53:33,44.3837,4.9908,51.8,58,0,6.91
142,Shelburne,CA,2021-01-29 20:53:34,44.0787,-80.2041,15.01,79,100,12.66
143,Flinders,AU,2021-01-29 20:53:34,-34.5833,150.8552,71.01,98,99,3.0
144,Tecoanapa,MX,2021-01-29 20:53:34,16.5167,-98.75,84.54,50,84,9.62
145,Baoding,CN,2021-01-29 20:53:34,38.8511,115.4903,27.72,70,0,3.18
146,Semporna,MY,2021-01-29 20:53:34,4.4818,118.6112,75.2,94,20,2.3
147,Rocha,UY,2021-01-29 20:53:35,-34.4833,-54.3333,79.45,49,21,8.7
148,Warrington,GB,2021-01-29 20:51:47,53.3925,-2.5802,42.01,89,100,1.01
149,Chivay,PE,2021-01-29 20:53:35,-15.6383,-71.6011,53.73,47,37,13.53
150,Santa Cruz,BO,2021-01-29 20:50:40,-17.8,-63.1667,80.33,71,99,17.05
151,Keti Bandar,PK,2021-01-29 20:53:35,24.1447,67.4497,62.46,67,0,8.25
152,Stepnyak,KZ,2021-01-29 20:53:36,52.8339,70.7803,17.01,92,57,10.89
153,Barcarena,BR,2021-01-29 20:53:36,-1.5058,-48.6258,84.2,74,75,9.22
154,Wakkanai,JP,2021-01-29 20:53:36,45.4094,141.6739,24.46,97,100,19.8
155,Bilma,NE,2021-01-29 20:53:36,18.6853,12.9164,63.81,26,16,6.35
156,Port Macquarie,AU,2021-01-29 20:49:55,-31.4333,152.9167,71.01,99,87,5.48
157,Yunyang,CN,2021-01-29 20:53:37,33.4474,112.7142,41.61,62,30,1.41
158,Roma,US,2021-01-29 20:53:37,43.2128,-75.4557,15.8,53,1,18.41
159,Katherine,AU,2021-01-29 20:53:37,-14.4667,132.2667,78.8,89,40,3.44
160,Todos Santos,MX,2021-01-29 20:53:37,23.45,-110.2167,71.01,78,32,7.0
161,Georgetown,MY,2021-01-29 20:53:37,5.4112,100.3354,77.0,78,20,3.44
162,Inta,RU,2021-01-29 20:53:38,66.0317,60.1659,-11.76,85,99,16.53
163,Meulaboh,ID,2021-01-29 20:53:38,4.1363,96.1285,73.96,89,100,6.8
164,Zhaoyang,CN,2021-01-29 20:53:38,42.682,126.0305,8.53,95,100,8.48
165,Ponta Delgada,PT,2021-01-29 20:53:38,37.7333,-25.6667,59.0,88,20,6.91
166,Esperance,AU,2021-01-29 20:53:38,-33.8667,121.9,55.4,94,1,5.75
167,Puerto Del Rosario,ES,2021-01-29 20:53:39,28.5004,-13.8627,66.2,88,0,6.91
168,Saint-Philippe,RE,2021-01-29 20:53:39,-21.3585,55.7679,78.8,65,0,4.61
169,Merauke,ID,2021-01-29 20:53:39,-8.4667,140.3333,79.61,85,86,13.82
170,San Patricio,US,2021-01-29 20:53:39,28.017,-97.5169,73.4,49,75,14.97
171,Olga,RU,2021-01-29 20:53:39,43.7444,135.2892,-8.21,81,31,8.84
172,Bell Ville,AR,2021-01-29 20:53:39,-32.6259,-62.6887,93.56,28,31,1.66
173,Chokurdakh,RU,2021-01-29 20:53:40,70.6333,147.9167,-24.3,86,100,7.63
174,Yeppoon,AU,2021-01-29 20:53:40,-23.1333,150.7333,73.4,78,33,9.22
175,Najran,SA,2021-01-29 20:49:06,17.4924,44.1277,66.2,22,0,4.16
176,Buraydah,SA,2021-01-29 20:53:40,26.326,43.975,60.8,41,0,5.75
177,Longyearbyen,SJ,2021-01-29 20:53:41,78.2186,15.6401,-2.2,55,20,23.02
178,Lebu,CL,2021-01-29 20:53:41,-37.6167,-73.65,58.32,94,98,3.62
179,Ginda,IN,2021-01-29 20:53:41,30.6945,78.4932,36.46,52,0,7.72
180,Makat,KZ,2021-01-29 20:53:41,47.6469,53.3463,30.94,96,71,10.36
181,Katsuura,JP,2021-01-29 20:53:41,35.1333,140.3,37.4,48,0,18.41
182,Quatre Cocos,MU,2021-01-29 20:53:41,-20.2078,57.7625,80.6,78,75,11.5
183,Fortuna,US,2021-01-29 20:53:42,40.5982,-124.1573,54.0,87,40,4.61
184,Umm Lajj,SA,2021-01-29 20:53:42,25.0213,37.2685,64.18,53,16,11.54
185,Tuktoyaktuk,CA,2021-01-29 20:53:42,69.4541,-133.0374,-34.6,74,20,3.44
186,Barra Patuca,HN,2021-01-29 20:53:42,15.8,-84.2833,80.4,65,21,8.12
187,Wangaratta,AU,2021-01-29 20:53:42,-36.3667,146.3333,69.8,94,90,1.14
188,Gimli,CA,2021-01-29 20:53:43,50.6336,-96.9907,12.2,79,100,8.05
189,Tuatapere,NZ,2021-01-29 20:50:08,-46.1333,167.6833,48.0,80,4,8.01
190,Faanui,PF,2021-01-29 20:53:43,-16.4833,-151.75,80.83,69,52,6.78
191,Bengkulu,ID,2021-01-29 20:49:48,-3.8004,102.2655,75.25,88,100,6.26
192,Salalah,OM,2021-01-29 20:53:43,17.0151,54.0924,73.4,64,75,8.05
193,Qui Nhon,VN,2021-01-29 20:53:44,13.7667,109.2333,68.81,84,79,13.33
194,Puerto Ayora,EC,2021-01-29 20:53:44,-0.7393,-90.3518,86.0,66,20,12.66
